time,monitor_ip,reorder,trans_bytes,retrans_bytes,trans_pkts,retrans_pkts,rtt_first,rtt_min,rtt_avg,rtt_max,mdev_avg,mdev_max,rto_avg,rto_max,cwnd_min,cwnd_avg,cwnd_max,wnd_min,wnd_avg,wnd_max,disorder_times,cwr_times,rcvy_times,loss_times
20-18:36:23,114.243.80.198,3,10949206,68000,8053,50,20,20,39,119,18,146,238,319,20,99,193,81600,534163,707200,1,0,3,0
20-18:36:25,125.34.125.134,3,10949206,206720,8053,152,17,17,63,131,43,178,263,331,20,227,361,1408,672681,1048576,0,0,4,0
20-18:32:43,123.115.132.10,35,10949214,1632000,8054,1200,0,65,407,2023,192,4189,973,8205,1,18,61,81664,196423,197120,98,0,107,6
20-18:33:3,123.122.52.90,100,10949206,565760,8053,416,36,36,657,761,34,588,880,120000,2,60,135,81664,260190,263936,2,0,6,1
20-18:36:39,123.122.181.254,3,10949206,189040,8053,139,19,18,89,189,21,122,288,389,20,227,379,81600,836144,1048576,0,0,3,0
20-18:35:6,61.50.103.98,16,10949214,4468960,8055,3286,31,31,112,2303,199,15561,904,20003,5,26,191,81664,260850,262400,26,2,49,8
20-18:36:44,123.121.181.81,3,10949214,9520,8053,7,21,21,109,174,15,188,310,376,20,175,195,81664,194357,198656,0,0,1,0
20-18:37:15,123.113.114.29,3,10949206,458320,8054,337,33,33,122,275,18,247,332,528,20,386,795,81600,771558,1047232,1,0,3,0
20-18:37:9,125.34.132.14,127,10949214,436560,8055,321,36,36,155,1080,97,859,481,1613,5,119,222,81600,964756,1048576,1,0,3,1
20-18:37:13,123.123.9.132,3,10949214,546720,8054,402,59,25,76,1014,77,2244,460,3080,6,57,241,81664,259536,262400,6,2,12,0
20-18:37:28,124.65.2.250,3,10949206,176800,8053,130,28,28,49,176,19,260,253,417,20,125,244,14080,243821,263936,0,0,5,0
20-18:37:33,123.125.26.227,6,10949206,96560,8053,71,24,24,55,390,43,902,290,1292,15,67,379,81600,973370,1039040,6,0,15,0
20-18:37:47,123.123.18.193,3,10949214,85680,8055,63,26,26,49,97,33,126,248,297,20,81,180,704,773763,1048576,0,0,2,0
20-18:29:50,111.197.80.166,16,10949206,26039920,8053,19147,28,28,39,179,51,1032,356,2409,5,7,30,81600,493802,522944,427,4,171,290
20-18:37:7,123.118.61.143,3,10949214,516800,8054,380,45,44,149,239,44,208,352,442,10,24,79,81664,196217,197120,34,0,56,0
20-18:37:42,114.249.204.92,3,10271031,277332,7083,191,37,33,90,1093,63,1325,351,2093,8,28,96,87616,517999,527232,7,0,31,0
20-18:37:57,61.149.24.239,3,10949214,53614,8055,41,25,25,71,1163,48,762,364,3657,20,87,250,81600,505997,522944,1,1,2,0
20-18:38:6,61.49.79.155,3,10949206,304640,8054,224,20,20,98,156,20,140,298,356,20,245,433,11776,705716,1048576,0,0,4,0
20-18:37:27,114.254.48.38,3,10949214,20400,8054,15,17,17,601,2496,147,2350,1127,4969,20,106,241,81664,257119,262400,0,0,3,0
20-18:38:14,114.240.217.79,3,10949206,1464720,8053,1077,20,20,24,123,10,229,227,420,8,21,195,81664,197868,198656,47,0,69,0
20-18:38:16,123.116.97.91,3,10949206,20400,8053,15,21,21,113,1084,45,1231,395,2315,20,127,244,81664,257895,263936,1,0,2,0
20-18:38:24,111.193.255.57,3,10949206,97920,8053,72,69,39,98,407,24,363,313,770,20,109,243,81664,257852,263936,0,0,3,0
20-18:38:27,125.33.51.205,3,10949214,4080,8054,3,22,22,135,188,17,91,335,388,20,132,194,81664,193039,197120,0,0,3,0
20-18:38:39,124.65.12.242,3,10949206,4080,8053,3,29,29,71,128,17,159,270,328,20,187,196,81664,194381,198656,0,0,0,0
20-18:38:46,114.240.91.5,3,10949214,382160,8054,281,71,47,107,246,66,297,341,605,15,191,466,81600,889024,1048576,0,0,3,0
20-18:38:20,111.197.98.223,19,10949206,397120,8053,292,43,43,286,2411,211,5764,1027,8175,7,81,436,81600,960158,1048576,5,0,7,0
20-18:38:55,114.240.196.149,3,10949206,47600,8053,35,16,16,28,76,15,87,228,276,20,60,157,81600,545850,576640,2,0,11,0
20-18:38:24,125.33.251.44,57,10949214,624240,8054,459,22,22,599,3516,224,3525,1211,7041,20,142,295,81600,578541,641920,4,0,4,0
20-18:39:2,111.193.233.71,3,10949214,21856,8055,18,66,31,68,195,70,287,282,482,20,216,278,704,764268,1048576,0,0,2,0
20-18:37:53,123.116.35.248,8,10949214,6606748,7756,4679,40,40,51,386,21,214,253,606,5,12,238,81600,510065,522944,89,0,90,1
20-18:38:50,123.120.31.19,127,10949214,25600,10694,25,0,118,362,1076,68,730,664,1614,20,153,256,81664,193464,197376,1,0,3,0
20-18:39:12,114.246.156.91,127,10949206,1147840,8053,844,0,40,247,610,36,329,462,944,5,90,296,81600,869741,1048576,16,0,18,1
20-18:39:53,114.254.184.104,3,10949206,225760,8053,166,18,18,71,144,16,122,270,344,20,108,235,81664,256970,263936,0,0,6,0
20-18:39:55,111.193.171.127,3,10949206,527680,8053,388,29,29,98,596,33,354,356,1445,20,111,292,81600,795761,870400,1,0,7,0
20-18:38:8,114.245.187.130,3,10949214,850000,8054,625,0,107,223,600,83,539,447,842,2,16,46,81600,510655,522944,103,1,128,1
20-18:39:54,202.106.86.138,61,10949206,219555,8424,170,41,41,52,128,31,207,254,328,13,37,92,7040,667742,1048576,215,0,25,0
20-18:40:18,123.118.45.212,3,10949214,0,8054,0,26,26,91,293,25,223,294,515,20,185,194,81664,192796,197120,0,0,0,0
20-18:38:23,61.49.106.81,3,10064779,394512,6993,275,72,24,43,118,24,144,242,318,14,49,228,0,239256,262080,0,0,14,0
20-18:40:30,114.253.33.24,3,10949214,186320,8054,137,21,21,71,270,23,161,270,470,20,113,302,81600,806858,1048576,0,0,4,0
20-18:40:22,125.34.49.121,3,10949206,659600,8053,485,55,55,135,660,63,769,411,1198,6,88,241,81600,971068,1036352,1,1,5,0
20-18:40:31,114.241.7.43,3,10949214,2031840,8054,1494,26,23,27,86,11,110,226,286,6,18,315,81600,511640,522944,72,0,101,0
20-18:40:45,114.251.1.246,17,10949214,97500,8424,75,36,36,79,228,39,262,281,428,20,50,101,81600,507427,522944,45,0,19,0
