time,monitor_ip,reorder,trans_bytes,retrans_bytes,trans_pkts,retrans_pkts,rtt_first,rtt_min,rtt_avg,rtt_max,mdev_avg,mdev_max,rto_avg,rto_max,cwnd_min,cwnd_avg,cwnd_max,wnd_min,wnd_avg,wnd_max,disorder_times,cwr_times,rcvy_times,loss_times
19-01:25:1,123.123.118.162,3,1297122,11296,921,8,49,41,67,111,113,257,279,373,20,63,69,8192,30672,64952,0,0,0,0
19-01:27:21,114.245.10.141,3,1156807,47600,853,35,21,20,31,67,21,45,231,267,20,109,348,81600,300187,522944,0,0,1,0
19-01:37:21,123.117.10.75,3,1362193,8160,1005,6,14,14,106,475,27,417,346,960,20,160,434,81600,259556,522944,0,0,1,0
19-01:46:50,114.246.48.202,3,1492902,602482,1101,445,15,15,27,54,16,44,227,254,6,129,305,81600,344536,884032,0,0,2,0
19-01:46:50,114.246.48.202,3,1492896,348160,1099,256,15,15,28,62,13,33,228,262,6,142,371,81600,373952,753472,1,0,2,0
19-02:07:17,125.33.68.193,3,1492902,80240,1101,59,13,13,80,264,46,116,283,501,20,156,393,81600,362517,522944,0,0,1,0
19-02:07:17,125.33.68.193,3,1492896,96560,1100,71,15,15,79,281,40,151,285,535,20,155,435,81600,362830,522944,0,0,1,0
19-02:11:20,114.243.25.108,8,1050379,45500,810,35,15,15,23,38,20,66,223,238,10,23,36,81600,459417,522944,10,0,6,0
19-02:11:20,114.243.25.108,3,1050372,71500,809,55,15,15,24,39,20,68,224,239,9,21,35,81600,467884,522944,4,0,10,0
19-02:12:36,114.246.217.69,3,1377444,285224,958,203,0,53,391,3155,284,2705,1717,9949,5,17,40,66048,258498,262144,4,0,12,1
19-02:12:36,114.246.217.69,58,1474381,548640,1026,381,0,55,510,3141,373,3577,1825,6685,5,16,63,66048,256201,262144,7,0,8,1
19-02:35:35,114.250.225.253,3,1298046,0,898,0,18,18,58,220,26,86,258,420,20,150,478,14720,335104,1047168,0,0,0,0
19-02:39:20,58.117.147.70,3,1477659,295120,1089,217,15,15,293,745,155,379,573,1124,20,101,377,0,209065,522944,1,0,2,0
19-02:47:47,124.65.178.42,26,1298046,518160,956,381,29,17,131,1889,227,5155,1225,7044,5,17,62,13632,421215,522944,5,1,9,2
19-02:51:59,114.246.217.69,3,1189469,40992,830,30,0,29,44,73,26,116,243,273,20,31,40,66048,255607,262144,0,0,1,0
19-02:57:45,125.33.27.202,3,1208974,70720,889,52,17,17,66,202,51,308,308,483,20,141,342,13632,397098,785088,0,0,1,0
19-02:57:45,125.33.27.202,3,1208981,43520,890,32,20,19,56,203,32,235,276,461,20,88,139,13632,354043,785088,0,0,1,0
19-02:56:49,123.122.150.107,3,1482667,1158720,1091,852,19,19,950,3558,1570,16561,4952,48325,5,22,37,61248,488713,609280,12,1,14,5
19-03:02:55,111.193.68.243,3,1252307,51984,869,36,17,17,3018,24952,837,5026,4254,30219,20,103,408,87616,251225,522880,0,0,1,0
19-03:03:40,111.199.157.210,3,1034590,28560,763,21,0,513,3506,19109,2305,34538,10889,53647,5,91,232,81600,368216,582080,2,2,0,0
19-03:08:58,111.193.68.243,3,1306446,101080,907,70,20,20,4798,22897,932,4489,6288,27437,20,153,409,87616,294090,522880,0,0,1,0
19-03:11:26,111.193.68.243,3,1308440,286874,909,203,13,13,6960,13531,1001,7711,9774,21242,6,95,156,87616,331690,525760,1,0,3,0
19-03:19:37,123.123.153.150,127,1310518,342720,965,252,16,16,206,579,49,442,505,1021,20,154,355,81600,347112,807872,0,0,1,0
19-03:19:37,123.123.153.150,3,1310524,198560,967,146,16,16,160,579,38,425,455,1007,20,111,262,81600,402979,913920,0,0,1,0
19-03:29:29,123.119.168.11,3,1266427,201280,932,148,0,136,611,4530,614,30332,2920,52293,20,78,226,81600,358378,816704,2,0,2,0
