time,monitor_ip,reorder,trans_bytes,retrans_bytes,trans_pkts,retrans_pkts,rtt_first,rtt_min,rtt_avg,rtt_max,mdev_avg,mdev_max,rto_avg,rto_max,cwnd_min,cwnd_avg,cwnd_max,wnd_min,wnd_avg,wnd_max,disorder_times,cwr_times,rcvy_times,loss_times
19-23:09:46,123.119.93.60,3,10493934,646000,7719,475,20,19,78,176,28,148,278,376,20,162,368,81600,916988,1048576,0,0,4,0
19-23:09:45,114.242.10.244,20,10493934,2204560,7718,1621,16,16,24,77,17,186,223,333,5,14,31,13632,485965,522944,108,0,121,1
19-23:11:57,114.253.186.109,3,10493926,780640,7719,574,15,15,515,2291,281,4101,1974,7322,6,242,433,81600,873153,1044480,2,2,3,0
19-23:14:27,111.201.154.4,3,10491218,9520,7716,7,38,20,38,164,18,314,247,502,20,102,111,81664,195524,198656,0,0,1,0
19-23:14:16,114.245.178.230,3,10493934,182240,7719,134,20,20,145,252,39,315,356,559,20,33,68,81600,511915,522944,7,0,14,0
19-23:15:56,114.250.218.110,3,10493934,676000,8074,520,19,15,32,242,14,195,231,442,11,69,255,1344,943292,2657216,0,0,18,0
19-23:16:33,123.116.99.97,3,10493926,125120,7718,92,26,26,87,470,138,935,322,1314,6,67,124,1408,585258,1048576,0,0,2,0
19-23:18:22,114.249.189.234,3,10877723,665040,8000,489,17,17,72,131,24,163,272,331,20,173,389,81600,899632,1036352,0,0,5,0
19-23:19:35,111.196.185.108,3,10461184,368560,7694,271,17,17,53,98,15,82,253,298,20,114,250,81600,917455,1006400,0,0,5,0
19-23:19:35,111.196.185.108,3,10461191,364480,7695,268,16,16,45,93,14,82,244,293,6,73,180,81600,924147,976512,0,0,5,0
19-23:19:36,123.112.102.180,3,10493926,558960,7718,411,19,19,112,438,41,532,353,970,19,93,329,81600,948791,1020032,1,0,8,0
19-23:19:36,123.112.102.180,3,10493934,480080,7719,353,27,24,108,437,45,550,350,996,20,84,237,81600,938765,1003712,0,0,9,0
19-23:19:13,114.242.249.205,3,10461191,94565,7725,81,11,10,11,14,5,28,211,214,20,62,206,0,15804,298752,0,0,0,0
19-23:19:13,114.242.249.205,3,10461184,73232,7723,69,11,10,11,15,4,29,211,215,20,61,214,0,16052,307968,0,0,0,0
19-23:22:5,111.207.2.205,127,10493927,2241280,7719,1648,40,40,929,2963,165,2164,1710,5071,5,94,433,81600,902622,1048576,7,0,9,1
19-23:25:37,123.121.59.47,3,10493927,239360,7718,176,12,12,59,210,32,287,267,461,16,86,243,81664,259661,263936,0,0,4,0
19-23:25:53,114.252.230.110,3,10678486,591600,7854,435,16,16,99,642,43,424,337,1185,5,163,359,81600,620656,718080,1,0,5,1
19-23:25:53,114.252.230.110,3,10678494,505920,7855,372,17,17,72,611,38,392,294,1088,20,121,221,81600,593570,641920,1,0,6,0
19-23:28:0,111.203.22.29,3,10493935,663680,7721,488,13,13,60,133,14,72,260,333,13,151,383,896,822108,1044480,0,0,4,0
19-23:28:5,124.65.83.234,3,10493927,214880,7719,158,16,16,87,394,72,724,347,1215,9,41,163,81664,261710,263936,2,0,13,0
19-23:28:41,111.196.4.55,5,10493935,4245920,7717,3122,13,13,39,565,47,1803,276,2374,5,17,277,13632,513869,524992,59,0,72,2
19-23:29:42,123.123.126.95,3,10493927,1240320,7718,912,18,16,25,121,18,155,228,330,14,46,293,81600,997324,1048576,2,0,16,0
19-23:30:12,123.114.148.28,3,10649243,40800,7832,30,20,20,103,215,45,281,317,519,20,166,199,1664,799957,1028160,0,0,2,0
19-23:30:55,111.201.182.113,3,10493935,1412,7434,1,15,15,112,200,19,154,312,400,20,235,289,87616,466248,525696,1,0,1,0
